Tweets,Sentiment_1,Probability,Sentiment_2
"Tengok gak la dia keje ape? Contoh kalau dia takde sijil like degree dia pandai business memacam then ok la maksud reti cari duit, bukan ape aku dlu keje jmpe laki kikis duit aku, aku dh la tak kaya lagi dia nak sapu duit aku hauk betul, background check issa must ",['negative'],"[{'negative': 0.8348543932033514, 'neutral': 0.0736665000705288, 'positive': 0.09147910672611688}]",['negative']
"Puan NorMilia tanya nak air sejuk ke atau air teh o panas. Aku balas

""air coway pun dah okay acik""
Aku tak nervous tau tapi aku jadi blurr blur katak ",['negative'],"[{'negative': 0.5132441958466459, 'neutral': 0.22506159548623778, 'positive': 0.2616942086671141}]",['negative']
"Tahu income dia 2nd day masa kenal hahahahahaha tapi bukan i tanya, dia yang bgtahu ðŸ˜‚ ",['positive'],"[{'negative': 0.3467889175725538, 'neutral': 0.2806700017648399, 'positive': 0.3725410806626073}]",['positive']
"I hope that parallel universe me is doing alright.

I hope she gets to go to the Super Bowl with her dad and that his favorite team wins. And let's be honest, she's probably there just for the halftime show. Lmao. ðŸ˜‚ ",['positive'],"[{'negative': 0.2429981921410941, 'neutral': 0.22648973032282138, 'positive': 0.530512077536083}]",['positive']
"Thinking of it nowâ€¦ German language is very consistent when it comes to reading numbers. Itâ€™s always nombor belakang first, baru nombor depan ðŸ¤” ",['positive'],"[{'negative': 0.34816200827945926, 'neutral': 0.27251468395680956, 'positive': 0.37932330776372974}]",['positive']
Allahu ,['neutral'],"[{'negative': 0.32246354087761436, 'neutral': 0.3981467995166484, 'positive': 0.2793896596057381}]",['neutral']
"I should buy a nerf blaster,, ",['neutral'],"[{'negative': 0.27998375366283873, 'neutral': 0.36327342732346957, 'positive': 0.3567428190136918}]",['neutral']
Lah kris ,['positive'],"[{'negative': 0.3346085504057749, 'neutral': 0.3153450678504606, 'positive': 0.35004638174376523}]",['positive']
"Nak beli Sumo Beef Burger la. 1 set air + fries. 

So aku compare 3 platform:

McDelivery RM27.50
Foodpanda RM26.57
Grab RM24.58
Masak sendiri: RM5.30

Kesimpulannya, masak sendiri je.",['positive'],"[{'negative': 0.280889911171372, 'neutral': 0.3366086152945369, 'positive': 0.3825014735340939}]",['positive']
"Tak kisah gaji nya berapa, janji tak meminta-minta gaji kita. Kita ni kalau orang tak minta, sibuk nak beri. Bila minta, malas nak bagi. ",['negative'],"[{'negative': 0.7238943018828148, 'neutral': 0.11280246380788009, 'positive': 0.16330323430930543}]",['negative']
